entity_group,score,word,start,end
ORG,0.99628067,Elon Musk,0,9
ORG,0.99929553,SpaceX,18,24
LOC,0.99972016,California,28,38
LOC,0.9996531,Texas,85,90
ORG,0.99857783,Microsoft,0,9
LOC,0.9982811,Seattle,22,29
ORG,0.99808455,Apple,0,5
LOC,0.9966934,Cupertino,26,35
MISC,0.9910613,iPhone,62,68
MISC,0.9928382,MacBook,73,80
PER,0.99946487,Barack Obama,0,12
LOC,0.9994238,United States,38,51
ORG,0.99864763,Google,0,6
LOC,0.99963343,London,22,28
LOC,0.9996991,California,33,43
MISC,0.9480902,AI,82,84
ORG,0.9934855,Amazon,0,6
LOC,0.99926764,Seattle,22,29
PER,0.98577875,Jeff Bezos,33,43
ORG,0.9867474,Tesla,0,5
ORG,0.88048834,Elon Musk,16,25
ORG,0.99936104,United Nations,4,18
LOC,0.9993446,New York,33,41
ORG,0.9954045,Facebook,0,8
ORG,0.97789824,Meta,23,27
ORG,0.9992764,World Bank,4,14
